date,close,color,ema5,ema10,ema15,ema20,bbu,bbm,bbl,mom5,mom10,macd,macdsignal,macdhist,rsi
5/14/2019,1299,0,1295.178238,1291.36437,1289.968548,1289.787696,1307.659008,1292.765251,1277.871494,10.4,10.4,0.326991849,-2.238701897,2.565693746,56.65995855
5/15/2019,1300.5,1,1296.952159,1293.025393,1291.28498,1290.807915,1308.31076,1295.722893,1283.135026,16.1,13.3,1.089498231,-1.573061871,2.662560102,57.53756718
5/16/2019,1289.4,1,1294.434773,1292.366231,1291.049357,1290.673828,1308.812055,1296.837014,1284.861973,1.2,14.4,0.789017497,-1.100645997,1.889663494,49.54275729
5/17/2019,1278.9,0,1289.256515,1289.917825,1289.530688,1289.552511,1313.717603,1295.1777,1276.637797,-11.3,-5.4,-0.293000372,-0.939116872,0.6461165,43.39957843
5/20/2019,1280.3,1,1286.27101,1288.16913,1288.376852,1288.671319,1310.075293,1292.004588,1273.933882,-24.4,-6.6,-1.025715222,-0.956436542,-0.06927868,44.38970699
5/21/2019,1276.2,0,1282.914007,1285.992924,1286.854745,1287.483575,1305.808176,1288.00184,1270.195504,-22.8,-12.4,-1.915156028,-1.14818044,-0.766975589,42.06872496
5/22/2019,1277.1,0,1280.976004,1284.376029,1285.635402,1286.494663,1293.602947,1284.146182,1274.689417,-23.4,-7.3,-2.518391349,-1.422222621,-1.096168728,42.77603655
5/23/2019,1288.4,1,1283.45067,1285.10766,1285.980977,1286.676124,1290.981999,1282.284965,1273.587931,-1,0.2,-2.060887496,-1.549955596,-0.5109319,50.88447287
5/24/2019,1286.4,1,1284.43378,1285.342631,1286.033355,1286.649826,1291.744378,1281.932222,1272.120066,7.5,-3.8,-1.838502569,-1.607664991,-0.230837578,49.54631674
5/27/2019,1277.1,0,1281.989187,1283.843971,1284.916685,1285.740319,1291.834552,1281.351346,1270.86814,-3.2,-27.6,-2.38519811,-1.763171615,-0.622026495,43.78074606
5/28/2019,1280.1,0,1281.359458,1283.163249,1284.3146,1285.203146,1290.188741,1280.731976,1271.275211,3.9,-18.9,-2.547022843,-1.91994186,-0.627080982,45.96512542
5/29/2019,1283.7,0,1282.139638,1283.26084,1284.237775,1285.059989,1288.839299,1280.625554,1272.41181,6.6,-16.8,-2.357603214,-2.007474131,-0.350129083,48.54861086
5/30/2019,1292.4,0,1285.559759,1284.922505,1285.258053,1285.759038,1292.523809,1281.970629,1271.417449,4,3,-1.488313154,-1.903641936,0.415328781,54.24234362
5/31/2019,1311.1,0,1294.073173,1289.68205,1288.488296,1288.172463,1310.89153,1286.416105,1261.940681,24.7,32.2,0.701453281,-1.382622892,2.084076174,63.57331166
